Ticker,Annoucement Date,startdate,enddate,Actual,Estimate,Surprise,Group
SYK,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.53,1.509,1.4,MEET
AMZN,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.4,1.424,-71.9,MISS
SGEN,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,-0.39,-0.407,4.2,MEET
NATI,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.27,0.257,5.1,MEET
FHB,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.41,0.406,1,MEET
FSLR,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.64,0.035,1728.6,BEAT
LPLA,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.74,0.649,14,BEAT
PFPT,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.17,0.123,38.2,BEAT
CY,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.21,0.163,28.8,BEAT
ACHC,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.66,0.648,1.9,MEET
MTD,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,3.92,3.894,0.7,MISS
CXP,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.26,0.275,-5.5,MISS
RSG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.61,0.598,2,MEET
SSNC,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.46,0.462,-0.4,MISS
MAT,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,-0.14,-0.093,-50.5,MISS
COLM,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,-0.13,-0.205,38,BEAT
MHK,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,3.72,3.6,3.3,MEET
VRSN,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.05,0.993,5.7,MEET
CERN,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.61,0.613,-0.5,MISS
EXPE,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.89,0.92,-3.3,MISS
INTC,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.72,0.68,5.9,MEET
LOGM,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.01,0.931,8.5,BEAT
LEG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.64,0.649,-1.4,MISS
SIVB,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,2.18,2.025,7.9,BEAT
ESS,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,2.97,2.916,1.9,MEET
ERIE,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.12,1.21,-7.6,MISS
WRI,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.61,0.595,2.5,MEET
RGA,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,2.95,2.478,19,BEAT
CPT,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.15,1.132,1.6,MEET
AJG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.03,1.029,0.2,MISS
TCO,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.86,0.831,3.5,MEET
PFG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.31,1.224,7,MEET
UNM,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.05,1.011,3.9,MEET
HIG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.04,0.943,10.3,BEAT
JEF,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.16,0.3,-46.7,MISS
FLS,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.22,0.43,-48.8,MISS
FTV,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.71,0.694,2.3,MEET
FE,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.61,0.597,2.2,MEET
AFL,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.92,0.821,11.4,BEAT
ES,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.72,0.682,5.6,MEET
EMN,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.98,1.905,3.9,MEET
ATR,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,1.01,0.958,5.4,MEET
CUBE,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.39,0.383,1.8,MEET
OFC,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.49,0.49,0,MISS
NOV,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,-0.14,-0.146,4.1,MEET
AIV,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.61,0.591,3.2,MEET
COG,2017-07-27,2017-02-03T16:00:00,2018-01-18T16:00:00,0.14,0.148,-5.4,MISS
WY,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.28,0.273,2.6,MEET
MD,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.85,0.872,-2.5,MISS
IRM,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.55,0.54,1.9,MEET
SC,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.74,0.605,21.6,BEAT
LYB,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,2.82,2.68,5.2,MEET
MRK,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,1.01,0.874,15.6,BEAT
UFS,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.61,0.545,11.9,BEAT
CFX,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.43,0.431,-0.2,MISS
WFT,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,-0.28,-0.284,1.4,MEET
WELL,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,1.06,1.052,0.8,MISS
CMS,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.33,0.389,-15.2,MISS
VTR,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,1.06,1.054,0.6,MISS
GT,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.7,0.71,-1.4,MISS
PEG,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.62,0.582,6.5,MEET
BHGE,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,-0.11,-0.111,0.9,MISS
AAL,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,1.92,1.872,2.6,MEET
ABBV,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,1.42,1.399,1.5,MEET
XOM,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.78,0.843,-7,MISS
CVX,2017-07-28,2017-02-06T16:00:00,2018-01-19T16:00:00,0.91,0.873,4.1,MEET
L,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.75,0.763,-1.4,MISS
CNA,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.88,0.756,16.4,BEAT
DISCA,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.68,0.721,-5.7,MISS
ROP,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,2.24,2.218,1,MEET
NRZ,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,1.03,0.529,94.7,BEAT
AWI,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.73,0.666,9.6,BEAT
SERV,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.69,0.683,1,MEET
AMG,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,3.33,3.241,2.7,MEET
MCY,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.68,0.5,36,BEAT
SBAC,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,1.37,1.493,-8.2,MISS
ALSN,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.63,0.481,31,BEAT
HTA,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.39,0.383,1.8,MEET
CACC,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,5.22,4.661,12,BEAT
BRX,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.53,0.514,3.1,MEET
CGNX,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.32,0.269,17.1,BEAT
ARE,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,1.5,1.49,0.7,MISS
EHC,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.71,0.675,5.2,MEET
VNO,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,1.35,1.254,7.7,BEAT
OI,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.75,0.668,12.3,BEAT
OLN,2017-07-31,2017-02-07T16:00:00,2018-01-22T16:00:00,0.02,0.081,-72.8,MISS
GWR,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.8,0.726,10.2,BEAT
ETN,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.15,1.157,-0.6,MISS
MOS,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.29,0.229,26.9,BEAT
XRX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.87,0.798,9,BEAT
PFE,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.67,0.657,2,MEET
CNX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.17,0.1,70,BEAT
STAY,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.31,0.308,0.6,MISS
IGT,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.15,0.343,-56.3,MISS
UAA,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,-0.03,-0.061,54.2,BEAT
XYL,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.59,0.569,3.7,MEET
IDXX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.95,0.848,12,BEAT
ADM,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.57,0.516,10.5,BEAT
CME,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.23,1.205,2.1,MEET
PSX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.09,1.009,8,BEAT
INCY,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.03,0.192,-86.5,MISS
INGR,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.89,1.851,2.1,MEET
MLM,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,2.09,2.363,-11.4,MISS
CMI,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,2.53,2.577,-1.9,MISS
SABR,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.35,0.351,-0.3,MISS
IPGP,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.93,1.665,15.6,BEAT
HCP,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.48,0.468,2.6,MEET
RCL,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.71,1.666,2.6,MEET
ECL,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.13,1.125,0.4,MISS
NNN,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.64,0.623,2.7,MEET
SPG,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,2.47,2.439,1.3,MEET
ULTI,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.93,0.904,2.9,MEET
FISV,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.6,0.618,-3.7,MISS
FEYE,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,-0.04,-0.116,65.5,BEAT
DVA,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.92,0.902,2,MEET
DXCM,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,-0.16,-0.217,26.3,BEAT
EXR,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.09,1.046,4.2,MEET
DVN,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.34,0.327,4,MEET
FANG,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.4,0.946,48,BEAT
HLF,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.76,0.557,35.5,BEAT
TEX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.51,0.427,19.4,BEAT
PAYC,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.26,0.202,28.7,BEAT
AIZ,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.63,1.598,2,MEET
PXD,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.21,0.116,81,BEAT
ILMN,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.82,0.688,19.2,BEAT
LOPE,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.83,0.683,21.3,BEAT
HBI,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.53,0.529,0.2,MISS
VRSK,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.82,0.769,6.6,MEET
BFAM,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.74,0.717,3.2,MEET
RPAI,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.27,0.256,5.5,MEET
DEI,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.47,0.48,-2.1,MISS
NFX,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.43,0.422,1.9,MEET
EOG,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.08,0.121,-33.9,MISS
ALL,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.38,0.869,58.8,BEAT
FMC,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.48,0.474,1.3,MEET
OKE,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.33,0.43,-22.8,MISS
AFG,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.61,1.31,22.9,BEAT
RRC,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.06,0.079,-24.1,MISS
MDU,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.22,0.248,-9.9,MISS
BXP,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,1.67,1.613,3.5,MEET
MTCH,2017-08-01,2017-02-08T16:00:00,2018-01-23T16:00:00,0.16,0.184,-13,MISS
BG,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.17,0.131,29.8,BEAT
CIM,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.6,0.632,-5.1,MISS
HFC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.66,0.469,40.7,BEAT
HUM,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,3.49,3.068,13.8,BEAT
LFUS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,2.1,2.085,0.7,MISS
ETR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,3.11,1.184,162.7,BEAT
NI,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.1,0.101,-1,MISS
SO,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.73,0.709,3,MEET
AME,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.65,0.623,4.3,MEET
FIS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.02,0.972,4.9,MEET
MDLZ,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.48,0.457,5,MEET
GRMN,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.88,0.809,8.8,BEAT
TAP,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,2.19,2.117,3.3,MEET
AN,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.86,0.972,-11.5,MISS
SPR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.57,1.196,31.3,BEAT
D,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.67,0.667,0.4,MISS
CLH,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.24,0.256,-6.3,MISS
EXC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.54,0.524,3.1,MEET
CHH,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.79,0.768,2.9,MEET
VMC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.9,1.201,-25.1,MISS
MFA,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.19,0.18,4,MEET
DATA,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.1,-0.05,300,BEAT
G,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.43,0.355,21.1,BEAT
EQIX,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,2.8,3.161,-11.4,MISS
CONE,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.77,0.738,4.3,MEET
RNG,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.04,0.03,33.3,BEAT
ARRS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.63,0.573,9.9,BEAT
TRMB,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.38,0.35,8.6,BEAT
MASI,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.83,0.703,18.1,BEAT
FBHS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.92,0.872,5.5,MEET
CTXS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.03,0.996,3.4,MEET
CINF,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.64,0.495,29.3,BEAT
BMRN,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.21,-0.212,0.9,MISS
EXEL,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.07,0.037,88.2,BEAT
CXO,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.52,0.428,21.5,BEAT
RP,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.23,0.222,3.6,MEET
PE,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.05,0.103,-51.5,MISS
BLUE,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-1.73,-1.646,-5.1,MISS
SQ,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.07,0.05,40,BEAT
LSI,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.33,1.354,-1.8,MISS
WPX,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.14,-0.149,6,MEET
FRT,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.49,1.458,2.2,MEET
ZNGA,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.02,0.018,-9.6,MISS
PRU,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,2.09,2.703,-22.7,MISS
TSLA,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-1.33,-1.876,29.1,BEAT
PPC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.93,0.833,11.6,BEAT
DNB,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.4,1.164,20.3,BEAT
WMB,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.13,0.194,-33,MISS
MOH,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-4.01,0.865,-563.6,MISS
MAC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.98,0.937,4.6,MEET
AR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.04,0.029,-237.9,MISS
CTL,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.46,0.489,-5.9,MISS
XPO,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.6,0.604,-0.7,MISS
LNC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.85,1.748,5.8,MEET
NLY,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.3,0.293,2.4,MEET
CC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.87,0.849,2.5,MEET
NUS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.77,0.69,11.1,BEAT
RYN,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.2,0.105,90.5,BEAT
PK,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.81,0.776,4.4,MEET
WTR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.34,0.34,0.7,MISS
THG,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.69,1.563,8.1,BEAT
MET,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.3,1.282,1.4,MEET
AVB,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,2.09,2.098,-0.4,MISS
RIG,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.1,-0.088,-13.3,MISS
OXY,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.15,0.089,68.5,BEAT
CF,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.1,-0.04,350,BEAT
AGO,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.16,0.765,51.6,BEAT
AIG,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.53,1.196,27.9,BEAT
IAC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.74,0.652,13.5,BEAT
OMF,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.81,0.882,-8.2,MISS
MRO,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.24,-0.149,-61.1,MISS
MUR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.11,-0.154,28.6,BEAT
HGV,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.51,0.453,12.6,BEAT
LBRDA,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0,0.05,-95,MISS
WYND,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.53,1.495,2.3,MEET
ANSS,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.99,0.914,8.3,BEAT
MIC,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.32,0.497,-35.6,MISS
NEU,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,5.29,5.73,-7.7,MISS
AWK,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,0.73,0.792,-7.6,MISS
NBR,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,-0.41,-0.356,-15.2,MISS
NXPI,2017-08-02,2017-02-09T16:00:00,2018-01-24T16:00:00,1.51,1.511,-0.2,MISS
WLTW,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.45,1.499,-3.3,MISS
BLL,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.53,0.549,-3.5,MISS
EPAM,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.8,0.813,-1.6,MISS
CTSH,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.93,0.905,2.8,MEET
LDOS,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.04,0.781,33.2,BEAT
COMM,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.6,0.646,-7.1,MISS
OGE,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.52,0.466,12.5,BEAT
DISH,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.5,0.745,-33.2,MISS
VER,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.17,0.177,-2.8,MISS
NRG,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.33,0.047,593.5,BEAT
TFX,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,2.04,1.908,6.9,MEET
REGN,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,4.17,3.168,31.6,BEAT
CNP,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.29,0.219,32.4,BEAT
PBF,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,-0.06,0.016,-475,MISS
WLK,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.21,1.237,-2.2,MISS
AXTA,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.31,0.389,-20.3,MISS
STOR,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.42,0.419,0.2,MISS
DUK,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.01,1.014,-0.4,MISS
GPN,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.94,0.92,2.2,MEET
TDY,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.74,1.26,38.1,BEAT
THS,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.51,0.486,4.9,MEET
CDW,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.03,1.028,0.2,MISS
TRGP,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.23,-0.151,252.4,BEAT
MSCI,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.95,0.899,5.7,MEET
IQV,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,1.09,1.051,3.7,MEET
CHD,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.41,0.388,5.7,MEET
CHK,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.16,0.144,11.1,BEAT
SNH,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.44,0.447,-1.6,MISS
YUM,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.68,0.619,9.9,BEAT
PWR,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.5,0.532,-6,MISS
HII,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,3.21,2.667,20.4,BEAT
PPL,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.52,0.495,5.1,MEET
NBL,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.05,-0.131,138.2,BEAT
RLGY,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.77,0.745,2.8,MEET
ICE,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.75,0.756,-0.8,MISS
SCG,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.85,0.743,14,BEAT
H,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,0.52,0.349,49,BEAT
AGN,2017-08-03,2017-02-10T16:00:00,2018-01-25T16:00:00,4.02,3.919,2.6,MEET
